detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1541,1073,1.40356,1,14.5159,12.5289,13.9674,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1529,1126,1.49694,2,12.5632,16.853,13.0017,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1561,1126,1.41434,3,14.9626,15.3541,14.2508,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1545,1117,1.4006,4,21.0748,12.6599,16.5116,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1526,1118,1.45516,5,14.3591,13.3314,13.8078,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1566,1147,1.44115,6,15.2469,14.1222,15.2347,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1529,1148,1.41129,7,14.2523,13.5005,14.2489,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1547,1120,1.40696,8,13.7229,11.6698,13.7975,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1572,1149,1.47587,9,11.8653,12.0817,11.6323,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1567,1083,1.41476,10,12.2973,11.7507,12.1869,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1538,1087,1.39795,11,11.73,10.1648,11.1859,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1513,1071,1.41159,12,12.5836,9.68322,11.0846,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1538,1138,1.42937,13,11.2523,9.20459,10.4889,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1555,1119,1.4124,14,10.3841,8.32764,9.67405,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1544,1132,1.39817,15,10.0485,9.15646,9.87322,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1563,1152,1.42166,16,9.14731,11.1345,9.1293,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,AKAZE,MAT_BF,SEL_KNN,1,0,1,1561,1161,1.41755,17,9.0467,8.29606,8.90812,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,1,1541,1132,1.43983,1,15.8504,12.5289,14.3521,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,1,1529,1168,1.42775,2,13.2442,16.853,13.3659,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,1,1561,1156,1.45768,3,15.2251,15.3541,14.2508,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
