detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1541,1541,1.63592,1,120,12.5289,16.1087,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.62901,2,120,16.853,13.6512,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.58209,3,120,15.3541,21.4904,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1545,1545,1.65385,4,120,12.6599,18.779,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1526,1526,1.5651,5,120,13.3314,13.8685,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1566,1566,1.60441,6,9.14356,14.1222,15.0722,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.58027,7,120,13.5005,16.674,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1547,1547,1.64729,8,120,11.6698,14.8264,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1572,1572,1.64434,9,120,12.0817,11.8667,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1567,1567,1.60634,10,120,11.7507,13.7338,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.63667,11,120,10.1648,20.0469,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1513,1513,1.59355,12,120,9.68322,11.8997,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.59377,13,120,9.20459,10.7695,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1555,1555,1.61553,14,120,8.32764,20.3221,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1544,1544,1.61462,15,120,9.15646,11.4089,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1563,1563,1.57633,16,120,11.1345,11.4364,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,AKAZE,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.63868,17,35.1904,8.29606,9.15615,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
