detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1541,1110,1.30736,1,17.4938,12.5289,15.2616,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1529,1133,1.30176,2,14.1761,16.853,13.979,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1561,1123,1.29512,3,14.2734,15.3541,14.0944,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1545,1131,1.33052,4,15.3801,12.6599,15.3389,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1526,1144,1.3253,5,14.5999,13.3314,13.7623,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1566,1127,1.3323,6,16.0281,14.1222,15.8459,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1529,1128,1.36571,7,14.2768,13.5005,14.1379,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1547,1160,1.32028,8,13.9386,11.6698,13.8546,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1572,1151,1.31125,9,11.9638,12.0817,11.7785,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1567,1136,1.28964,10,13.3307,11.7507,12.7163,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1538,1096,1.37366,11,11.482,10.1648,11.0614,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1513,1143,1.31863,12,10.5556,9.68322,10.1918,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1538,1183,1.33654,13,10.9091,9.20459,9.99129,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1555,1179,1.33021,14,9.60712,8.32764,9.35917,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1544,1177,1.3692,15,10.0508,9.15646,9.99321,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1563,1180,1.30452,16,9.01422,11.1345,9.08309,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,BRIEF,MAT_BF,SEL_NN,1,0,0,1561,1190,1.31789,17,9.38631,8.29606,9.13309,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
