detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1541,1091,1.47528,1,16.0033,12.5289,15.0455,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1529,1109,1.50521,2,13.6776,16.853,13.7449,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1561,1116,1.48385,3,14.3019,15.3541,13.8482,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1545,1102,1.51439,4,15.397,12.6599,15.1292,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1526,1121,1.4779,5,14.6104,13.3314,13.8349,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1566,1082,1.51139,6,16.251,14.1222,15.9524,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1529,1119,1.50158,7,14.4753,13.5005,14.1706,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1547,1120,1.47603,8,13.251,11.6698,13.286,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1572,1107,1.53543,9,11.7302,12.0817,11.5913,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1567,1119,1.47594,10,12.8012,11.7507,12.4815,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1538,1104,1.46937,11,12.1372,10.1648,11.5201,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1513,1135,1.45064,12,9.91146,9.68322,10.0946,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1538,1165,1.49366,13,9.91634,9.20459,9.61153,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1555,1170,1.49522,14,9.55037,8.32764,9.2833,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1544,1163,1.47591,15,9.88332,9.15646,9.81256,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1563,1191,1.5137,16,9.71673,11.1345,9.63193,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,1561,1197,1.47017,17,9.62339,8.29606,9.20358,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
