detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1541,1541,1.44637,1,120,12.5289,15.8068,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.47528,2,13.6734,16.853,13.1526,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.4468,3,15.3352,15.3541,14.5957,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1545,1545,1.48453,4,32.3489,12.6599,15.836,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1526,1526,1.46014,5,12.7921,13.3314,13.6406,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1566,1566,1.46851,6,16.6822,14.1222,15.9422,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.52285,7,16.8094,13.5005,14.4633,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1547,1547,1.45122,8,14.2604,11.6698,14.1241,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1572,1572,1.45128,9,25.5061,12.0817,12.0041,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1567,1567,1.47054,10,14.5529,11.7507,13.0421,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.49326,11,16.2789,10.1648,12.1528,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1513,1513,1.4438,12,10.9284,9.68322,10.2582,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.4388,13,11.6065,9.20459,10.1068,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1555,1555,1.50622,14,10.2026,8.32764,9.29329,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1544,1544,1.46871,15,10.8404,9.15646,10.2082,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1563,1563,1.44318,16,14.7467,11.1345,9.63517,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.51033,17,9.05556,8.29606,9.02263,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
