detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1541,1048,1.62699,1,16.5064,12.5289,14.7721,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1529,1085,1.51228,2,13.3519,16.853,13.3178,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1561,1066,1.50373,3,14.4396,15.3541,14.397,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1545,1051,1.50306,4,14.6305,12.6599,14.6783,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1526,1083,1.48369,5,15.4155,13.3314,14.8968,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1566,1076,1.51976,6,15.3931,14.1222,15.4121,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1529,1095,1.6121,7,14.2873,13.5005,14.2012,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1547,1087,1.6214,8,9.33487,11.6698,13.7728,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1572,1098,2.20859,9,11.9951,12.0817,11.8902,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1567,1075,2.01309,10,12.318,11.7507,12.2793,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1538,1082,1.59805,11,11.2167,10.1648,10.7073,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1513,1082,1.62532,12,10.7907,9.68322,10.4312,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1538,1104,1.60199,13,10.7148,9.20459,10.0446,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1555,1124,1.63722,14,12.0087,8.32764,9.98226,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1544,1137,1.62186,15,10.6513,9.15646,10.3896,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1563,1159,1.5991,16,9.00408,11.1345,9.19227,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,BRISK,MAT_BF,SEL_NN,1,0,0,1561,1163,1.58418,17,8.01361,8.29606,8.85901,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
