detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1541,967,1.86815,1,15.7051,12.5289,15.2611,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1529,989,1.90625,2,12.9556,16.853,13.3659,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1561,973,1.85862,3,14.3354,15.3541,14.295,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1545,972,1.85048,4,14.8372,12.6599,14.8158,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1526,1002,1.86494,5,16.1527,13.3314,14.7093,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1566,1013,1.88383,6,15.714,14.1222,15.8833,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1529,996,1.8641,7,13.9339,13.5005,13.9229,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1547,1007,1.85844,8,13.5255,11.6698,13.8225,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1572,1009,1.88337,9,11.8841,12.0817,11.7715,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1567,988,1.90179,10,12.5176,11.7507,12.3627,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1538,980,1.81849,11,10.8664,10.1648,10.3511,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1513,984,1.8325,12,10.4912,9.68322,10.0855,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1538,1030,1.85746,13,10.2576,9.20459,10.0257,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1555,1059,1.85092,14,10.4588,8.32764,9.8576,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1544,1040,1.79285,15,10.5778,9.15646,10.4519,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1563,1097,1.84516,16,9.64077,11.1345,9.57572,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1561,1073,1.85172,17,9.12256,8.29606,8.92524,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
