detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1541,910,1.3993,1,14.5774,12.5289,13.8456,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1529,969,1.42756,2,14.155,16.853,13.938,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1561,935,1.41553,3,13.8013,15.3541,14.0368,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1545,900,1.40852,4,15.4726,12.6599,15.8923,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1526,946,1.45082,5,15.1957,13.3314,14.4456,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1566,984,1.48409,6,15.35,14.1222,15.4514,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1529,959,1.41635,7,13.9052,13.5005,13.7666,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1547,961,1.39901,8,13.1004,11.6698,12.9255,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1572,970,1.38089,9,13.3599,12.0817,11.9479,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1567,935,1.40067,10,12.4429,11.7507,12.1617,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1538,961,1.40352,11,11.4792,10.1648,10.8368,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1513,964,1.4374,12,12.4909,9.68322,10.861,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1538,1010,1.44647,13,10.0264,9.20459,9.87627,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1555,1027,1.41178,14,9.63243,8.32764,9.73035,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1544,1011,1.42896,15,10.4758,9.15646,10.3329,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1563,1027,1.41043,16,8.97675,11.1345,9.13805,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,FREAK,MAT_BF,SEL_KNN,1,0,0,1561,1054,1.40311,17,7.25813,8.29606,8.74183,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
