detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1541,1022,1.46425,1,14.497,12.5289,13.9034,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1529,1056,1.44061,2,14.1613,16.853,14.0142,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1561,1042,1.46181,3,12.7705,15.3541,13.7473,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1545,1040,1.41615,4,16.1732,12.6599,16.2268,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1526,1050,1.41941,5,14.6668,13.3314,14.1738,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1566,1056,1.43945,6,15.4773,14.1222,15.3947,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1529,1069,1.47111,7,13.796,13.5005,13.8936,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1547,1067,1.39596,8,13.3323,11.6698,13.1744,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1572,1067,1.44303,9,11.7114,12.0817,11.5608,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1567,1050,1.42831,10,11.6183,11.7507,12.0605,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1538,1040,1.47658,11,13.2557,10.1648,10.9692,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1513,1047,1.40348,12,12.118,9.68322,10.6705,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1538,1093,1.41931,13,10.3574,9.20459,10.0383,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1555,1091,1.47573,14,9.7957,8.32764,9.37355,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1544,1110,1.40461,15,11.3568,9.15646,10.3507,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1563,1118,1.43965,16,9.22598,11.1345,9.20025,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,FREAK,MAT_BF,SEL_NN,1,0,0,1561,1123,1.40608,17,9.12184,8.29606,8.87335,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
