detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1541,1027,1.39034,1,17.327,12.5289,14.6488,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1529,1055,1.35202,2,14.5614,16.853,13.4459,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1561,1046,1.35515,3,13.9245,15.3541,13.8551,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1545,1056,1.39902,4,17.8992,12.6599,16.7008,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1526,1049,1.35889,5,14.4305,13.3314,13.8775,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1566,1072,1.40467,6,15.7074,14.1222,15.6234,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1529,1070,1.35693,7,13.9157,13.5005,13.9833,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1547,1051,1.41263,8,13.1648,11.6698,13.1135,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1572,1068,1.39242,9,11.7823,12.0817,11.6125,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1567,1026,1.34099,10,12.0511,11.7507,11.9995,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1538,1036,1.37408,11,12.2885,10.1648,11.5658,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1513,1054,1.41388,12,10.498,9.68322,10.1975,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1538,1076,1.38686,13,11.9003,9.20459,10.5676,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1555,1098,1.38513,14,10.1062,8.32764,9.57475,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1544,1097,1.36901,15,10.833,9.15646,10.235,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1563,1107,1.4019,16,8.4641,11.1345,8.95092,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,ORB,MAT_BF,SEL_NN,1,0,0,1561,1126,1.34912,17,9.07353,8.29606,8.94151,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
