detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1541,935,1.46798,1,15.8896,12.5289,15.117,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1529,954,1.46964,2,13.4164,16.853,13.3323,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1561,943,1.47062,3,14.4473,15.3541,14.0921,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1545,960,1.45671,4,16.9827,12.6599,15.8082,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1526,982,1.54208,5,13.814,13.3314,13.6535,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1566,992,1.46694,6,15.4967,14.1222,15.5123,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1529,994,1.50955,7,13.9577,13.5005,13.9508,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1547,947,1.44984,8,13.2551,11.6698,13.2592,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1572,995,1.47404,9,11.643,12.0817,11.5597,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1567,943,1.46322,10,12.2699,11.7507,12.1757,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1538,961,1.46701,11,12.1145,10.1648,11.4861,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1513,968,1.57856,12,10.1735,9.68322,10.0084,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1538,1020,1.45701,13,11.301,9.20459,10.357,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1555,1026,1.44524,14,11.7088,8.32764,10.2153,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1544,1022,1.46951,15,7.61074,9.15646,9.6573,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1563,1056,1.4533,16,9.22781,11.1345,9.26089,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,ORB,MAT_FLANN,SEL_KNN,1,0,0,1561,1043,1.48216,17,9.16333,8.29606,9.01574,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
