detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1541,1539,1.48949,1,120,12.5289,15.8627,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1529,1526,1.45703,2,120,16.853,14.0988,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1561,1559,1.51098,3,13.6514,15.3541,14.4023,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1545,1540,1.46707,4,120,12.6599,15.8484,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1526,1522,1.49972,5,120,13.3314,14.5045,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1566,1558,1.50812,6,120,14.1222,16.9234,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1529,1527,1.50291,7,120,13.5005,14.5553,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1547,1541,1.48519,8,120,11.6698,13.8741,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1572,1567,1.48794,9,120,12.0817,13.6017,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1567,1562,1.53389,10,65.6274,11.7507,12.2123,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1538,1529,1.47259,11,120,10.1648,11.9913,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1513,1510,1.45348,12,21.8198,9.68322,10.8738,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1538,1532,1.46272,13,120,9.20459,12.1794,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1555,1547,1.48202,14,120,8.32764,10.5605,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1544,1534,1.45013,15,120,9.15646,11.5789,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1563,1553,1.45047,16,120,11.1345,9.26783,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,ORB,MAT_FLANN,SEL_NN,1,0,0,1561,1556,1.51388,17,14.8845,8.29606,8.91984,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
