detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1541,1150,1.52645,1,15.4151,12.5289,14.6062,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1529,1166,1.48145,2,13.0799,16.853,13.2935,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1561,1147,1.46312,3,14.3638,15.3541,14.2183,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1545,1146,1.50219,4,16.4497,12.6599,15.932,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1526,1138,1.47065,5,14.145,13.3314,13.8612,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1566,1159,1.49329,6,15.9468,14.1222,15.6936,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1529,1169,1.51607,7,13.7484,13.5005,13.8876,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1547,1161,1.48395,8,14.0606,11.6698,14.0521,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1572,1209,1.45924,9,11.8663,12.0817,11.7939,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1567,1149,1.54352,10,12.2627,11.7507,12.1969,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1538,1134,1.47963,11,11.7853,10.1648,11.1796,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1513,1145,1.45875,12,11.0938,9.68322,10.735,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1538,1181,1.4523,13,10.4417,9.20459,10.0382,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1555,1183,1.52187,14,10.1773,8.32764,9.605,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1544,1221,1.48421,15,9.97099,9.15646,10.0692,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1563,1210,1.45828,16,9.215,11.1345,9.12928,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,SIFT,MAT_BF,SEL_KNN,1,0,0,1561,1215,1.52316,17,9.1887,8.29606,9.00489,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
