detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1541,1177,1.44035,1,14.9602,12.5289,14.1401,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1529,1196,1.43555,2,13.4423,16.853,13.4737,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1561,1184,1.40155,3,14.1957,15.3541,14.0329,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1545,1181,1.41378,4,15.7097,12.6599,15.4405,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1526,1198,1.47338,5,14.5076,13.3314,13.8549,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1566,1205,1.40945,6,14.8665,14.1222,15.1912,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1529,1197,1.41817,7,13.9249,13.5005,13.9556,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1547,1206,1.44549,8,13.8272,11.6698,13.8928,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1572,1234,1.455,9,11.4465,12.0817,11.5815,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1567,1172,1.42308,10,12.0259,11.7507,12.0922,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1538,1178,1.45585,11,11.7774,10.1648,11.2458,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1513,1169,1.46982,12,11.192,9.68322,10.8137,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1538,1203,1.46243,13,10.8098,9.20459,10.3924,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1555,1224,1.50232,14,10.7102,8.32764,9.90038,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1544,1229,1.49401,15,10.4041,9.15646,10.1672,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1563,1248,1.49648,16,9.3859,11.1345,9.27554,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,SIFT,MAT_BF,SEL_NN,1,0,0,1561,1254,1.48519,17,9.29807,8.29606,9.08906,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
