detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1541,1144,1.48033,1,15.427,12.5289,14.6084,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1529,1175,1.48622,2,13.0608,16.853,13.2801,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1561,1151,1.48458,3,14.3542,15.3541,14.2268,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1545,1145,1.47897,4,16.4497,12.6599,15.932,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1526,1152,1.50209,5,14.4522,13.3314,13.8905,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1566,1170,1.51974,6,15.4508,14.1222,15.5681,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1529,1170,1.51095,7,13.7292,13.5005,13.8897,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1547,1161,1.47551,8,14.1055,11.6698,14.0879,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1572,1218,1.49688,9,11.932,12.0817,11.878,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1567,1145,1.5146,10,12.2209,11.7507,12.1736,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1538,1137,1.48357,11,11.9986,10.1648,11.2695,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1513,1154,1.50417,12,11.0938,9.68322,10.735,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1538,1196,1.51389,13,11.6094,9.20459,10.5383,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1555,1192,1.50978,14,10.1773,8.32764,9.605,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1544,1220,1.50392,15,9.94815,9.15646,9.9771,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1563,1199,1.45997,16,9.19858,11.1345,9.12823,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1561,1213,1.52929,17,9.17976,8.29606,8.9967,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
