detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1541,1541,1.49275,1,120,12.5289,15.2035,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.53567,2,18.1386,16.853,13.1541,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.48805,3,16.6348,15.3541,14.1141,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1545,1545,1.50087,4,120,12.6599,16.7088,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1526,1526,1.53701,5,120,13.3314,14.0776,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1566,1566,1.48923,6,120,14.1222,15.7868,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.48425,7,18.3883,13.5005,14.0724,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1547,1547,1.50523,8,120,11.6698,14.4445,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1572,1572,1.48073,9,11.7834,12.0817,11.6477,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1567,1567,1.47814,10,42.3531,11.7507,12.8286,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.5067,11,120,10.1648,18.0514,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1513,1513,1.5513,12,18.1846,9.68322,11.0537,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.47459,13,10.6278,9.20459,10.3446,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1555,1555,1.48288,14,120,8.32764,10.4192,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1544,1544,1.48531,15,23.2269,9.15646,10.3155,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1563,1563,1.49757,16,9.72715,11.1345,9.03733,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,SIFT,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.46155,17,8.95002,8.29606,8.97653,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
