detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3000,1777,1.59916,1,15.1974,12.5289,16.7762,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2974,1805,1.60266,2,11.487,16.853,12.2416,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2953,1705,1.6092,3,20.454,15.3541,20.7951,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2855,1715,1.57935,4,19.9161,12.6599,19.4565,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2906,1747,1.61532,5,17.6499,13.3314,18.0058,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2886,1678,1.59795,6,15.7151,14.1222,15.8082,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2886,1675,1.62741,7,20.4135,13.5005,18.4064,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2893,1737,1.60808,8,15.0189,11.6698,14.9526,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2930,1708,1.63462,9,11.0172,12.0817,11.2756,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3022,1741,1.61739,10,12.982,11.7507,13.472,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3013,1742,1.63149,11,14.6076,10.1648,14.3071,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,2949,1721,1.61038,12,12.4437,9.68322,12.2211,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3012,1764,1.60097,13,11.2423,9.20459,11.0792,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3026,1850,1.61133,14,13.7774,8.32764,11.1855,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3074,1838,1.61366,15,11.7637,9.15646,12.0387,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3131,1908,1.64781,16,11.3833,11.1345,11.1826,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,BRIEF,MAT_BF,SEL_KNN,1,0,0,3135,1956,1.61162,17,10.674,8.29606,10.7193,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
