detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3000,1730,1.6302,1,15.6871,12.5289,16.1031,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2974,1709,1.65593,2,11.6984,16.853,12.6061,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2953,1632,1.63399,3,16.4847,15.3541,16.8508,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2855,1666,1.6012,4,20.8135,12.6599,21.7158,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2906,1684,1.63043,5,17.2593,13.3314,17.1279,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2886,1616,1.63033,6,16.8297,14.1222,15.3422,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2886,1653,1.59687,7,17.7048,13.5005,17.5631,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2893,1672,1.58568,8,15.8597,11.6698,15.9359,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2930,1682,1.62131,9,15.5049,12.0817,15.867,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3022,1691,1.60487,10,12.6183,11.7507,12.8519,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3013,1661,1.61473,11,12.5812,10.1648,12.9987,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,2949,1693,1.63675,12,12.6542,9.68322,12.2366,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3012,1690,1.60995,13,12.2343,9.20459,11.8711,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3026,1724,1.63088,14,9.3886,8.32764,9.79165,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3074,1753,1.64008,15,11.4257,9.15646,11.7206,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3131,1813,1.64507,16,11.4679,11.1345,11.22,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,BRIEF,MAT_BF,SEL_NN,1,0,0,3135,1847,1.62497,17,10.0363,8.29606,10.3266,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
