detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3000,2973,2.04874,1,13.4175,12.5289,18.0813,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2974,2952,2.05596,2,12.9482,16.853,12.9035,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2953,2923,2.07976,3,120,15.3541,21.0559,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2855,2826,2.05169,4,27.6121,12.6599,26.3859,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2906,2874,2.06443,5,24.6974,13.3314,19.9254,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2886,2856,2.09302,6,32.6398,14.1222,17.8748,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2886,2849,2.07134,7,15.1856,13.5005,18.4226,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2893,2868,2.01981,8,12.8866,11.6698,14.7999,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2930,2904,1.99435,9,11.3861,12.0817,11.6039,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3022,2988,2.07605,10,11.886,11.7507,11.5856,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3013,2977,2.1882,11,11.6914,10.1648,14.6398,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2949,2906,2.09674,12,120,9.68322,14.4808,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3012,2970,2.15743,13,10.3954,9.20459,10.7614,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3026,2987,2.10114,14,120,8.32764,12.147,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3074,3024,2.23522,15,17.4852,9.15646,13.2328,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3131,3081,2.08529,16,11.9061,11.1345,11.1426,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,BRIEF,MAT_FLANN,SEL_NN,1,0,0,3135,3097,2.14467,17,8.75449,8.29606,9.58816,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
