detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3000,1734,2.05884,1,12.5591,12.5289,16.2115,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2974,1735,2.02074,2,10.6184,16.853,13.148,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2953,1656,1.90487,3,13.5247,15.3541,14.6981,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2855,1685,1.89278,4,35.2331,12.6599,22.5655,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2906,1663,1.91376,5,13.8888,13.3314,15.8936,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2886,1625,1.90219,6,14.9894,14.1222,14.447,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2886,1633,1.8823,7,13.1962,13.5005,14.7342,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2893,1652,1.87207,8,11.8694,11.6698,14.7951,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2930,1723,1.8997,9,16.439,12.0817,14.4224,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3022,1735,1.87904,10,17.4906,11.7507,13.4905,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3013,1714,1.89682,11,10.1809,10.1648,10.9394,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,2949,1736,1.90365,12,12.252,9.68322,11.8618,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3012,1752,1.89912,13,12.5488,9.20459,11.1442,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3026,1808,1.92879,14,12.3411,8.32764,11.3795,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3074,1835,1.98919,15,8.6465,9.15646,10.2039,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3131,1855,1.86421,16,9.76643,11.1345,9.5608,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,BRISK,MAT_BF,SEL_NN,1,0,0,3135,1881,1.91216,17,12.5904,8.29606,11.2534,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
