detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3000,1631,2.70649,1,31.7593,12.5289,22.8683,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2974,1589,2.7556,2,12.2818,16.853,13.0507,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2953,1510,2.49814,3,15.6662,15.3541,15.287,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2855,1499,2.54063,4,30.908,12.6599,26.8423,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2906,1525,2.49849,5,20.9356,13.3314,17.6743,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2886,1500,2.56246,6,14.6626,14.1222,16.8563,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2886,1495,2.47207,7,16.3243,13.5005,15.9873,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2893,1530,2.48055,8,10.5499,11.6698,13.9107,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2930,1497,2.55498,9,14.7549,12.0817,13.4121,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3022,1564,2.50431,10,17.9294,11.7507,12.8176,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3013,1562,2.44136,11,10.0914,10.1648,11.0073,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2949,1554,2.44592,12,11.6346,9.68322,11.9867,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3012,1588,2.47788,13,12.8092,9.20459,12.0411,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3026,1682,2.56793,14,13.1311,8.32764,12.7732,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3074,1688,2.51122,15,11.1721,9.15646,11.2969,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3131,1683,2.45947,16,8.78612,11.1345,9.14582,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,BRISK,MAT_FLANN,SEL_KNN,1,0,0,3135,1776,2.48344,17,9.68313,8.29606,10.9366,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
