detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3000,3000,2.60162,1,120,12.5289,23.5139,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2974,2974,2.65077,2,120,16.853,22.3766,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2953,2953,2.70396,3,120,15.3541,115.207,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2855,2855,2.59878,4,52.2715,12.6599,28.1443,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2906,2906,2.58415,5,120,13.3314,120,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2886,2886,2.59185,6,120,14.1222,21.9523,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2886,2886,2.63387,7,120,13.5005,23.5102,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2893,2893,2.64305,8,120,11.6698,16.7648,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2930,2930,2.66412,9,120,12.0817,23.4718,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3022,3022,2.67175,10,120,11.7507,23.9811,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3013,3013,2.67096,11,120,10.1648,25.554,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,2949,2949,2.66864,12,120,9.68322,13.6503,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3012,3012,2.64142,13,120,9.20459,24.346,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3026,3026,2.74133,14,120,8.32764,20.9091,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3074,3074,2.62656,15,120,9.15646,14.8456,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3131,3131,2.70353,16,120,11.1345,12.354,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,BRISK,MAT_FLANN,SEL_NN,1,0,0,3135,3135,2.69348,17,120,8.29606,15.8801,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
