detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3000,1495,1.71523,1,14.5999,12.5289,18.0858,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2974,1507,1.7176,2,16.1952,16.853,14.5025,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2953,1464,1.75324,3,13.6307,15.3541,14.3497,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2855,1491,1.75343,4,19.0937,12.6599,19.6004,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2906,1472,1.71906,5,19.6436,13.3314,17.7914,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2886,1409,1.76035,6,12.4284,14.1222,14.1058,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2886,1436,1.72973,7,13.316,13.5005,15.3707,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2893,1425,1.72339,8,16.284,11.6698,16.7034,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2930,1489,1.71524,9,15.3094,12.0817,14.2198,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3022,1455,1.72417,10,12.7189,11.7507,14.3834,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3013,1441,1.73878,11,11.5205,10.1648,11.6596,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,2949,1408,1.71962,12,11.0643,9.68322,12.102,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3012,1424,1.75714,13,13.594,9.20459,12.6421,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3026,1514,1.72916,14,12.2561,8.32764,11.9507,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3074,1553,1.72152,15,12.7221,9.15646,10.8801,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3131,1578,1.75793,16,6.27509,11.1345,8.85834,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,FREAK,MAT_BF,SEL_NN,1,0,0,3135,1584,1.72704,17,12.1543,8.29606,11.6871,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
