detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3000,1470,2.22071,1,26.773,12.5289,23.4822,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2974,1477,2.18612,2,13.6847,16.853,13.5807,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2953,1429,2.31718,3,12.5869,15.3541,13.7819,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2855,1391,2.22574,4,29.7823,12.6599,23.7087,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2906,1388,2.21806,5,19.2833,13.3314,16.3304,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2886,1364,2.24542,6,13.3809,14.1222,15.7718,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2886,1368,2.16598,7,19.5536,13.5005,18.8718,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2893,1382,2.21809,8,14.3791,11.6698,15.028,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2930,1370,2.17424,9,14.4943,12.0817,13.9839,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3022,1412,2.21617,10,12.142,11.7507,12.7929,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3013,1382,2.25254,11,11.0696,10.1648,11.3571,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2949,1355,2.2666,12,11.4954,9.68322,11.8385,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3012,1376,2.17297,13,10.3748,9.20459,11.2328,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3026,1476,2.12184,14,13.4928,8.32764,13.4661,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3074,1465,2.20579,15,9.80173,9.15646,10.2883,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3131,1544,2.17505,16,8.64459,11.1345,9.26445,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,FREAK,MAT_FLANN,SEL_KNN,1,0,0,3135,1541,2.2511,17,9.49411,8.29606,10.7707,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
