detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3000,2467,2.2374,1,120,12.5289,29.1061,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2974,2472,2.27213,2,120,16.853,18.1392,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2953,2466,2.22059,3,120,15.3541,16.7438,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2855,2393,2.18197,4,120,12.6599,29.9979,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2906,2450,2.17314,5,120,13.3314,19.3266,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2886,2427,2.2518,6,120,14.1222,35.4061,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2886,2415,2.23064,7,120,13.5005,19.3001,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2893,2403,2.25382,8,120,11.6698,18.5691,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2930,2432,2.18704,9,120,12.0817,23.8855,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3022,2485,2.18925,10,120,11.7507,17.6698,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3013,2443,2.22832,11,120,10.1648,14.3691,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,2949,2398,2.22414,12,120,9.68322,17.7964,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3012,2434,2.18181,13,120,9.20459,14.564,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3026,2446,2.16779,14,120,8.32764,14.7055,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3074,2497,2.17,15,120,9.15646,14.926,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3131,2564,2.26836,16,120,11.1345,10.4319,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,FREAK,MAT_FLANN,SEL_NN,1,0,0,3135,2568,2.21309,17,120,8.29606,12.2996,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
