detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3000,1688,1.80258,1,11.1097,12.5289,14.8835,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2974,1674,1.80134,2,12.7175,16.853,14.3675,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2953,1615,1.77508,3,15.4133,15.3541,14.6683,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2855,1638,1.79551,4,29.6859,12.6599,19.5705,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2906,1627,1.77508,5,22.4537,13.3314,18.2841,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2886,1603,1.77566,6,13.5954,14.1222,14.2212,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2886,1607,1.90889,7,12.9092,13.5005,14.7645,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2893,1633,1.92209,8,12.1125,11.6698,13.1019,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2930,1674,1.78184,9,13.8631,12.0817,14.1491,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3022,1675,1.90665,10,13.109,11.7507,13.0359,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3013,1658,1.81973,11,9.96665,10.1648,10.9342,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,2949,1666,1.78143,12,10.3936,9.68322,11.2218,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3012,1690,1.78397,13,10.9581,9.20459,11.1532,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3026,1718,1.75917,14,11.1058,8.32764,11.0471,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3074,1715,1.76229,15,8.57202,9.15646,10.9197,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3131,1781,1.76393,16,8.45353,11.1345,9.8992,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,ORB,MAT_BF,SEL_NN,1,0,0,3135,1824,1.75996,17,9.25267,8.29606,10.0027,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
