detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3000,2958,1.94697,1,120,12.5289,34.52,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2974,2933,1.99838,2,120,16.853,28.7311,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2953,2909,2.04037,3,120,15.3541,120,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2855,2811,2.00539,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2906,2853,1.96467,5,120,13.3314,115.779,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2886,2829,1.98456,6,120,14.1222,65.1077,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2886,2832,1.96574,7,120,13.5005,18.9419,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2893,2854,2.00267,8,120,11.6698,19.9406,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2930,2888,1.9843,9,120,12.0817,23.7552,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3022,2973,2.04539,10,120,11.7507,120,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3013,2955,1.99029,11,120,10.1648,22.4141,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,2949,2883,1.98185,12,120,9.68322,17.0197,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3012,2942,2.03113,13,120,9.20459,16.6128,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3026,2958,2.05836,14,120,8.32764,22.3373,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3074,2998,1.98708,15,120,9.15646,11.8205,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3131,3051,2.0018,16,120,11.1345,16.7504,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,ORB,MAT_FLANN,SEL_NN,1,0,0,3135,3076,2.05474,17,120,8.29606,13.8631,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
