detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3000,1774,1.79681,1,15.0361,12.5289,16.0856,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2974,1780,1.79371,2,16.5457,16.853,16.426,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2953,1756,1.78372,3,11.7549,15.3541,12.3607,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2855,1718,1.79164,4,30.7802,12.6599,27.5601,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2906,1704,1.80201,5,12.7443,13.3314,14.1044,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2886,1698,1.79751,6,13.8068,14.1222,13.7124,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2886,1669,1.82098,7,15.4673,13.5005,15.7639,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2893,1682,1.79594,8,21.7205,11.6698,18.1851,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2930,1712,1.80143,9,14.6805,12.0817,14.5577,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3022,1751,1.78573,10,36.9667,11.7507,14.8637,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3013,1716,1.78684,11,10.2791,10.1648,11.247,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,2949,1773,1.7828,12,15.9026,9.68322,13.4178,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3012,1715,1.82003,13,10.7905,9.20459,10.5531,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3026,1801,1.80814,14,14.2098,8.32764,13.8472,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3074,1820,1.80355,15,11.7351,9.15646,10.767,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3131,1872,1.82416,16,9.89455,11.1345,10.2172,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,SIFT,MAT_BF,SEL_KNN,1,0,0,3135,1897,1.84969,17,11.6958,8.29606,12.1286,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
