detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3000,1765,1.82312,1,16.4703,12.5289,17.0017,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2974,1763,1.82547,2,21.9056,16.853,18.8539,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2953,1688,1.85728,3,10.2807,15.3541,11.9809,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2855,1731,1.86015,4,60.6323,12.6599,28.8183,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2906,1664,1.83259,5,16.8943,13.3314,15.6422,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2886,1675,1.85209,6,13.7335,14.1222,13.9645,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2886,1652,1.86598,7,14.2806,13.5005,15.1973,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2893,1672,1.82994,8,19.9906,11.6698,17.6092,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2930,1722,1.80267,9,14.9344,12.0817,14.9905,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3022,1746,1.8409,10,14.3548,11.7507,13.9573,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3013,1735,1.84001,11,12.3733,10.1648,12.5825,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,2949,1760,1.82346,12,12.1142,9.68322,12.5095,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3012,1756,1.84812,13,11.6294,9.20459,11.0767,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3026,1796,1.84967,14,13.1409,8.32764,12.6384,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3074,1835,1.8342,15,11.5191,9.15646,11.4156,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3131,1849,1.8917,16,10.3445,11.1345,9.98986,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,SIFT,MAT_BF,SEL_NN,1,0,0,3135,1865,1.87244,17,10.4868,8.29606,11.4406,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
