detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3000,1836,1.81217,1,15.2564,12.5289,16.5702,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2974,1856,1.8215,2,16.9525,16.853,16.4629,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2953,1804,1.82687,3,15.0103,15.3541,13.5562,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2855,1774,1.83172,4,26.6228,12.6599,26.4929,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2906,1756,1.80973,5,14.3783,13.3314,15.3123,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2886,1750,1.82266,6,14.1672,14.1222,14.2103,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2886,1728,1.81051,7,16.0426,13.5005,15.9359,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2893,1771,1.80879,8,17.707,11.6698,17.1581,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2930,1776,1.81392,9,12.8197,12.0817,13.7099,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3022,1821,1.79401,10,37.795,11.7507,14.8844,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3013,1791,1.79838,11,10.3857,10.1648,11.351,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2949,1844,1.80404,12,15.4456,9.68322,13.4092,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3012,1780,1.80912,13,11.083,9.20459,10.6941,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3026,1897,1.79538,14,13.3156,8.32764,13.3999,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3074,1906,1.84134,15,13.9508,9.15646,11.3207,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3131,1949,1.82886,16,11.8313,11.1345,11.1059,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,SIFT,MAT_FLANN,SEL_KNN,1,0,0,3135,1967,1.80364,17,11.5743,8.29606,12.1077,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
