detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3000,3000,1.82127,1,30.1999,12.5289,16.602,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2974,2974,1.86254,2,120,16.853,21.4283,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2953,2953,1.83545,3,21.423,15.3541,13.3858,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2855,2855,1.83305,4,120,12.6599,46.4079,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2906,2906,1.84042,5,13.972,13.3314,14.3478,12.995,7.638,1.442,7.683,1.35,0.5,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2886,2886,1.83889,6,120,14.1222,17.9476,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2886,2886,1.88833,7,120,13.5005,21.279,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2893,2893,1.80512,8,19.9476,11.6698,17.3017,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2930,2930,1.79963,9,120,12.0817,16.5415,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3022,3022,1.85312,10,5.79705,11.7507,11.012,12.5864,7.393,1.411,7.414,1.342,1,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3013,3013,1.83416,11,28.6455,10.1648,14.272,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,2949,2949,1.8235,12,120,9.68322,14.1974,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3012,3012,1.8392,13,120,9.20459,11.4082,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3026,3026,1.84425,14,10.2798,8.32764,13.7114,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3074,3074,1.82711,15,10.0456,9.15646,10.7654,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3131,3131,1.82621,16,120,11.1345,12.6222,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
BRISK,SIFT,MAT_FLANN,SEL_NN,1,0,0,3135,3135,1.83104,17,15.6983,8.29606,12.7722,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
