detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5291,3066,1.44515,1,11.71,12.5289,11.9855,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5202,3041,1.43182,2,13.4665,16.853,13.1526,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5090,3003,1.44519,3,12.8487,15.3541,12.7784,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5118,3083,1.42568,4,13.8685,12.6599,13.336,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5180,3015,1.45196,5,14.0837,13.3314,12.9124,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5192,2949,1.4483,6,13.6893,14.1222,13.2299,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5177,2996,1.4558,7,13.9395,13.5005,13.1729,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5176,2996,1.44826,8,13.584,11.6698,12.9534,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5225,3028,1.42946,9,14.3225,12.0817,13.6608,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5331,3067,1.43805,10,11.0263,11.7507,11.5076,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5351,3057,1.43669,11,10.981,10.1648,11.4703,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5244,3060,1.44042,12,10.7638,9.68322,11.8168,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5231,3069,1.43662,13,9.70264,9.20459,10.6826,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5286,3132,1.43689,14,10.0747,8.32764,10.7084,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5464,3177,1.43923,15,9.74826,9.15646,10.4195,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5464,3226,1.44066,16,9.19986,11.1345,9.87383,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,BRIEF,MAT_BF,SEL_NN,1,0,0,5563,3287,1.45762,17,10.0993,8.29606,10.8923,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
