detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5291,3128,2.66709,1,10.3795,12.5289,11.6079,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5202,3072,2.55729,2,14.1673,16.853,13.8762,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5090,3029,2.42125,3,14.2737,15.3541,13.2727,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5118,3102,2.43013,4,16.3736,12.6599,14.7306,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5180,3103,2.41445,5,16.1665,13.3314,13.5023,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5192,2985,2.46248,6,14.3057,14.1222,13.2738,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5177,3021,2.39289,7,13.6776,13.5005,13.062,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5176,3055,2.48104,8,13.469,11.6698,12.9908,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5225,3003,2.37626,9,12.9037,12.0817,13.1117,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5331,3075,2.46806,10,11.9261,11.7507,12.0404,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5351,3088,2.56297,11,10.8627,10.1648,11.4644,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5244,3093,2.48305,12,11.0826,9.68322,11.8448,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5231,3065,2.52001,13,9.46271,9.20459,10.7171,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5286,3135,2.47269,14,11.5811,8.32764,11.5,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5464,3275,2.60268,15,9.60892,9.15646,10.3217,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5464,3318,2.59745,16,8.95045,11.1345,9.41431,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,5563,3329,2.54696,17,11.2807,8.29606,11.6341,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
