detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5291,4630,2.51167,1,120,12.5289,25.0714,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5202,4572,2.43218,2,84.67,16.853,14.5853,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5090,4519,2.43852,3,120,15.3541,13.3007,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5118,4518,2.43748,4,16.3237,12.6599,13.7897,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5180,4516,2.49538,5,17.8469,13.3314,13.8873,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5192,4494,2.47058,6,15.7411,14.1222,13.4124,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5177,4483,2.52505,7,31.5661,13.5005,12.5761,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5176,4478,2.46836,8,12.3349,11.6698,12.093,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5225,4513,2.42475,9,13.533,12.0817,12.6682,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5331,4620,2.5105,10,10.5372,11.7507,11.8844,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5351,4637,2.49322,11,12.9382,10.1648,11.4644,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5244,4566,2.54459,12,12.3355,9.68322,12.3288,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5231,4510,2.48945,13,10.2016,9.20459,10.0171,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5286,4549,2.50002,14,13.9132,8.32764,11.7976,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5464,4718,2.52829,15,120,9.15646,11.2503,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5464,4701,2.53608,16,120,11.1345,11.0999,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,BRIEF,MAT_FLANN,SEL_NN,1,0,0,5563,4762,2.53655,17,11.0925,8.29606,11.2209,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
