detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5291,2711,1.84503,1,9.98824,12.5289,12.2653,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5202,2684,1.68509,2,10.3184,16.853,11.3568,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5090,2617,1.68728,3,14.7184,15.3541,12.9849,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5118,2695,1.69945,4,14.7242,12.6599,14.9903,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5180,2653,1.69376,5,90.942,13.3314,12.7038,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5192,2590,1.9314,6,114.644,14.1222,12.9121,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5177,2667,1.82378,7,20.5392,13.5005,13.0226,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5176,2593,1.72281,8,13.3643,11.6698,13.1008,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5225,2658,1.68446,9,18.1729,12.0817,13.5457,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5331,2712,1.71462,10,13.5259,11.7507,11.7163,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5351,2765,1.67957,11,12.1461,10.1648,11.7556,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5244,2684,1.70724,12,10.807,9.68322,11.8543,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5231,2750,1.72232,13,17.7671,9.20459,11.3432,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5286,2858,1.70581,14,40.0039,8.32764,11.2461,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5464,2910,1.72381,15,10.2052,9.15646,10.7766,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5464,3009,1.71543,16,8.93615,11.1345,9.59603,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,BRISK,MAT_BF,SEL_NN,1,0,0,5563,2943,1.72021,17,12.0619,8.29606,11.948,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
