detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5291,2222,4.12757,1,11.6313,12.5289,12.3204,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5202,2186,3.98316,2,11.9385,16.853,12.1788,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5090,2126,3.59263,3,120,15.3541,12.7722,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5118,2235,3.81054,4,16.0145,12.6599,14.2881,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5180,2182,3.86484,5,11.999,13.3314,11.9311,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5192,2041,3.76359,6,12.7834,14.1222,12.8486,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5177,2156,3.57533,7,13.2016,13.5005,12.3008,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5176,2098,3.73869,8,12.8016,11.6698,12.3436,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5225,2143,4.24444,9,14.09,12.0817,13.5993,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5331,2217,3.85307,10,12.4074,11.7507,12.0033,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5351,2249,3.64766,11,13.2371,10.1648,12.1365,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5244,2193,3.62082,12,9.8766,9.68322,11.6043,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5231,2242,3.62183,13,10.1793,9.20459,11.3067,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5286,2349,4.21441,14,10.4389,8.32764,11.0006,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5464,2426,3.68029,15,10.8726,9.15646,11.0573,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5464,2554,3.76144,16,9.51035,11.1345,10.323,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,BRISK,MAT_FLANN,SEL_KNN,1,0,0,5563,2459,3.8157,17,11.726,8.29606,11.7229,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
