detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5291,2185,1.55951,1,12.1353,12.5289,12.5294,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5202,2233,1.51882,2,13.8795,16.853,13.2855,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5090,2062,1.57999,3,16.9005,15.3541,13.4674,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5118,2205,1.63035,4,13.8232,12.6599,12.5578,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5180,2135,1.55297,5,12.439,13.3314,11.8947,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5192,2087,1.5637,6,13.414,14.1222,12.8562,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5177,2097,1.5431,7,12.0167,13.5005,12.3599,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5176,2070,1.48603,8,15.1041,11.6698,12.7196,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5225,2101,1.70304,9,11.8966,12.0817,12.7106,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5331,2208,1.52883,10,11.788,11.7507,11.9912,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5351,2163,1.82628,11,10.4243,10.1648,12.0951,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5244,2147,1.55505,12,10.6584,9.68322,11.5751,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5231,2212,1.85628,13,10.0877,9.20459,11.0813,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5286,2273,1.53265,14,11.4264,8.32764,10.7757,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5464,2348,1.53157,15,13.1169,9.15646,10.9579,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5464,2397,1.51504,16,9.7773,11.1345,10.1665,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,FREAK,MAT_BF,SEL_KNN,1,0,0,5563,2376,1.5112,17,10.4644,8.29606,11.3782,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
