detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5291,2635,1.62369,1,10.0891,12.5289,11.8033,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5202,2621,1.62137,2,15.3235,16.853,13.2483,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5090,2531,1.58607,3,10.7095,15.3541,13.1723,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5118,2649,1.57866,4,13.6794,12.6599,12.332,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5180,2572,1.65443,5,12.5584,13.3314,12.2998,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5192,2544,1.60679,6,12.5499,14.1222,13.1437,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5177,2582,1.60615,7,9.06884,13.5005,12.0553,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5176,2537,1.55978,8,10.7118,11.6698,12.2236,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5225,2590,1.5705,9,12.3323,12.0817,13.2923,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5331,2629,1.59465,10,120,11.7507,12.6147,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5351,2649,1.61579,11,9.36278,10.1648,11.0905,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5244,2607,1.60281,12,13.2315,9.68322,12.4728,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5231,2626,1.59766,13,10.4549,9.20459,11.3035,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5286,2704,1.57919,14,9.66447,8.32764,10.4857,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5464,2776,1.59882,15,9.47688,9.15646,10.4344,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5464,2819,1.60406,16,9.26818,11.1345,9.77033,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,FREAK,MAT_BF,SEL_NN,1,0,0,5563,2825,1.59556,17,10.9136,8.29606,11.386,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
