detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5291,2916,1.49753,1,11.1588,12.5289,11.6626,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5202,2958,1.50391,2,11.8763,16.853,12.2294,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5090,2823,1.49989,3,12.0597,15.3541,12.5681,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5118,2896,1.50484,4,14.1648,12.6599,13.281,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5180,2859,1.52683,5,11.0886,13.3314,11.5941,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5192,2800,1.50606,6,13.5539,14.1222,13.3229,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5177,2840,1.50965,7,11.5464,13.5005,12.5617,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5176,2863,1.47046,8,12.0975,11.6698,12.3395,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5225,2880,1.51865,9,12.4537,12.0817,12.4858,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5331,2889,1.49426,10,10.6884,11.7507,11.2613,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5351,2888,1.49341,11,9.78298,10.1648,10.742,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5244,2817,1.56152,12,11.0111,9.68322,11.9434,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5231,2891,1.48436,13,9.7906,9.20459,10.9062,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5286,2976,1.48904,14,10.2585,8.32764,10.7009,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5464,3071,1.49258,15,9.96519,9.15646,10.4894,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5464,3082,1.52845,16,9.33093,11.1345,9.98737,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,ORB,MAT_BF,SEL_NN,1,0,0,5563,3071,1.488,17,10.0633,8.29606,10.8448,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
