detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5291,2850,2.61949,1,11.5423,12.5289,12.2996,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5202,2845,2.66913,2,11.7852,16.853,12.04,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5090,2742,2.55652,3,13.188,15.3541,12.803,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5118,2840,2.64741,4,14.1333,12.6599,13.2479,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5180,2761,2.6806,5,14.1236,13.3314,12.891,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5192,2726,2.65793,6,14.071,14.1222,13.5962,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5177,2767,2.57631,7,12.3989,13.5005,12.7075,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5176,2794,2.60538,8,11.8636,11.6698,12.3793,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5225,2783,2.539,9,14.288,12.0817,13.4996,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5331,2807,2.58804,10,11.258,11.7507,11.8892,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5351,2843,2.73401,11,10.2434,10.1648,11.0123,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5244,2816,2.60394,12,10.641,9.68322,11.6215,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5231,2815,2.65481,13,9.34036,9.20459,10.6147,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5286,2888,2.58883,14,9.65728,8.32764,10.3912,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5464,3039,2.67967,15,9.24758,9.15646,9.91061,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5464,3042,2.807,16,8.80786,11.1345,9.32992,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,ORB,MAT_FLANN,SEL_KNN,1,0,0,5563,3108,2.77148,17,10.6353,8.29606,11.3381,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
