detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5291,4564,2.6833,1,120,12.5289,12.0092,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5202,4525,2.71324,2,120,16.853,13.331,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5090,4464,2.73779,3,120,15.3541,15.1446,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5118,4462,2.63114,4,120,12.6599,16.5505,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5180,4452,2.6836,5,120,13.3314,12.9193,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5192,4415,2.66864,6,120,14.1222,13.5072,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5177,4401,2.59138,7,120,13.5005,14.1511,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5176,4406,2.63687,8,120,11.6698,12.9701,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5225,4437,2.64192,9,11.3627,12.0817,11.9536,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5331,4536,2.50362,10,120,11.7507,11.6597,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5351,4564,2.60538,11,120,10.1648,11.1041,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5244,4483,2.71965,12,120,9.68322,12.4209,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5231,4415,2.6364,13,49.7604,9.20459,10.6009,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5286,4460,2.61811,14,120,8.32764,11.9889,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5464,4637,2.64691,15,34.2345,9.15646,9.74641,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5464,4614,2.71775,16,10.6405,11.1345,9.84667,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,ORB,MAT_FLANN,SEL_NN,1,0,0,5563,4665,2.58042,17,120,8.29606,11.6546,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
