detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5291,3422,1.5314,1,11.2713,12.5289,11.5701,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5202,3313,1.56636,2,14.1247,16.853,14.0723,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5090,3308,1.5508,3,14.2025,15.3541,13.1636,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5118,3376,1.55217,4,15.7519,12.6599,14.367,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5180,3412,1.54727,5,13.8801,13.3314,12.9126,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5192,3330,1.6632,6,12.2849,14.1222,12.5755,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5177,3343,1.6332,7,13.1644,13.5005,12.8926,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5176,3357,1.63907,8,13.2649,11.6698,12.7564,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5225,3394,1.64128,9,12.9278,12.0817,13.1996,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5331,3337,1.802,10,11.9386,11.7507,12.1,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5351,3389,1.72993,11,9.98287,10.1648,10.8165,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5244,3356,1.74567,12,10.8948,9.68322,11.7451,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5231,3477,1.72982,13,11.1442,9.20459,11.5148,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5286,3543,1.62055,14,10.4398,8.32764,10.82,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5464,3627,1.61925,15,9.64648,9.15646,10.2908,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5464,3627,1.65513,16,8.78796,11.1345,9.18287,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,SIFT,MAT_BF,SEL_KNN,1,0,0,5563,3733,1.64806,17,9.7083,8.29606,10.402,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
