detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5291,3586,1.69561,1,10.5841,12.5289,11.2297,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5202,3502,1.70264,2,14.9192,16.853,14.4565,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5090,3448,1.68804,3,14.8895,15.3541,13.4674,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5118,3557,1.68461,4,17.0409,12.6599,15.1525,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5180,3526,1.68683,5,13.6422,13.3314,12.7145,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5192,3462,1.7091,6,14.1462,14.1222,13.5489,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5177,3516,1.69374,7,14.4438,13.5005,13.3693,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5176,3515,1.68187,8,14.2415,11.6698,13.2477,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5225,3536,1.69443,9,16.7576,12.0817,15.0039,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5331,3592,1.69325,10,11.0059,11.7507,11.5114,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5351,3565,1.69045,11,10.1888,10.1648,11.0279,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5244,3548,1.70162,12,10.712,9.68322,11.7205,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5231,3623,1.70712,13,10.1326,9.20459,11,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5286,3724,1.67439,14,10.0647,8.32764,10.6507,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5464,3758,1.71189,15,9.83467,9.15646,10.4572,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5464,3801,1.69936,16,9.27855,11.1345,9.90402,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,SIFT,MAT_BF,SEL_NN,1,0,0,5563,3818,1.72219,17,10.0667,8.29606,10.813,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
