detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5291,3499,1.57168,1,11.3476,12.5289,11.3993,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5202,3381,1.5851,2,13.2015,16.853,13.788,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5090,3396,1.5836,3,14.0721,15.3541,13.1068,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5118,3458,1.58524,4,15.7519,12.6599,14.367,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5180,3498,1.58168,5,14.2624,13.3314,13.1616,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5192,3416,1.59198,6,12.5381,14.1222,12.7106,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5177,3427,1.57335,7,13.5288,13.5005,13.0148,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5176,3446,1.56572,8,13.2709,11.6698,12.7592,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5225,3478,1.55177,9,13.0065,12.0817,13.2434,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5331,3430,1.57935,10,11.8852,11.7507,12.0802,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5351,3480,1.56885,11,11.1141,10.1648,11.4605,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5244,3447,1.58379,12,10.824,9.68322,11.7066,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5231,3564,1.58111,13,10.4186,9.20459,11.252,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5286,3629,1.60153,14,10.1645,8.32764,10.7072,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5464,3724,1.71339,15,9.41045,9.15646,10.1042,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5464,3712,1.9239,16,8.7853,11.1345,9.15958,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,SIFT,MAT_FLANN,SEL_KNN,1,0,0,5563,3833,1.91627,17,9.7083,8.29606,10.402,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
