detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5291,5291,1.59389,1,13.0724,12.5289,11.6177,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5202,5202,1.61789,2,13.0557,16.853,13.7516,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5090,5090,1.64826,3,16.82,15.3541,13.5165,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5118,5118,1.64928,4,19.1331,12.6599,16.011,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5180,5180,1.6331,5,14.3412,13.3314,13.0766,12.995,7.638,1.442,7.683,1.35,0.5,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5192,5192,1.63582,6,12.8136,14.1222,13.0621,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5177,5177,1.61637,7,14.6328,13.5005,13.1003,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5176,5176,1.62772,8,13.4887,11.6698,12.3656,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5225,5225,1.60547,9,15.4133,12.0817,12.2282,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5331,5331,1.61216,10,12.6542,11.7507,11.5617,12.5864,7.393,1.411,7.414,1.342,1,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5351,5351,1.60494,11,11.1482,10.1648,11.2253,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5244,5244,1.61496,12,10.1919,9.68322,11.6326,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5231,5231,1.70261,13,9.60686,9.20459,10.9564,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5286,5286,1.6734,14,10.261,8.32764,10.5085,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5464,5464,1.64698,15,8.39973,9.15646,9.93736,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5464,5464,1.63141,16,9.04825,11.1345,9.36303,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
FAST,SIFT,MAT_FLANN,SEL_NN,1,0,0,5563,5563,1.62348,17,9.97831,8.29606,10.7262,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
