detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,209,131,1.36757,1,9.12071,12.5289,18.2178,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,114,107,1.42708,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,178,152,1.57574,3,11.5749,15.3541,11.3951,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,250,207,1.42287,4,19.7576,12.6599,13.6432,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,241,202,1.39446,5,18.7618,13.3314,13.6217,12.995,7.638,1.442,7.683,1.35,0.5,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,259,212,1.39265,6,12.451,14.1222,12.2395,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,272,192,1.37935,7,16.5016,13.5005,13.2352,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,193,133,1.39599,8,3.26086,11.6698,3.30058,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,129,115,1.37056,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,248,162,1.37902,10,7.00791,11.7507,11.6702,12.5864,7.393,1.411,7.414,1.342,1,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,147,129,1.37436,11,19.0321,10.1648,12.551,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,168,141,1.36979,12,12.4647,9.68322,25.6953,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,181,140,1.39532,13,5.6061,9.20459,5.6061,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,144,131,1.38444,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,243,183,1.41092,15,7.22363,9.15646,6.71705,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,213,142,1.65007,16,12.0945,11.1345,12.5848,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
HARRIS,AKAZE,MAT_FLANN,SEL_KNN,1,0,0,126,114,1.39641,17,120,8.29606,120,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
