detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,209,120,1.36169,1,14.6634,12.5289,11.0081,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,114,95,1.31893,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,178,146,1.30126,3,11.5749,15.3541,11.3951,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,250,180,1.29183,4,30.6534,12.6599,35.3833,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,241,174,1.32766,5,18.7618,13.3314,13.6217,12.995,7.638,1.442,7.683,1.35,0.5,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,259,193,1.33862,6,20.1007,14.1222,14.2744,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,272,174,1.32798,7,16.5016,13.5005,13.2352,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,193,123,1.31882,8,3.30058,11.6698,3.30058,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,129,109,1.30789,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,248,142,1.32263,10,11.4408,11.7507,11.4377,12.5864,7.393,1.411,7.414,1.342,1,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,147,116,1.31028,11,11.6632,10.1648,11.6948,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,168,131,1.29822,12,7.4507,9.68322,13.4327,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,181,130,1.30899,13,5.6061,9.20459,5.6061,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,144,121,1.32151,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,243,175,1.31947,15,7.22363,9.15646,6.71705,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,213,132,1.319,16,12.6612,11.1345,12.6612,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_KNN,1,0,0,126,100,1.28853,17,120,8.29606,120,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
