detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,209,202,1.2872,1,120,12.5289,80.7525,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,114,113,1.27647,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,178,172,1.29758,3,11.5749,15.3541,11.3951,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,250,239,1.30279,4,29.2436,12.6599,34.1473,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,241,226,1.29688,5,18.7618,13.3314,13.6217,12.995,7.638,1.442,7.683,1.35,0.5,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,259,242,1.33669,6,3.20756,14.1222,13.8748,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,272,259,1.30121,7,120,13.5005,34.1943,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,193,186,1.28985,8,3.24135,11.6698,3.30058,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,129,127,1.29765,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,248,238,1.27057,10,3.49614,11.7507,11.2142,12.5864,7.393,1.411,7.414,1.342,1,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,147,144,1.2918,11,11.6632,10.1648,11.6948,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,168,161,1.27924,12,7.4507,9.68322,13.4327,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,181,179,1.30436,13,5.45493,9.20459,5.55228,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,144,142,1.29126,14,2.01154,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,243,233,1.2752,15,120,9.15646,8.52258,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,213,202,1.31027,16,2.97424,11.1345,11.7964,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
HARRIS,BRIEF,MAT_FLANN,SEL_NN,1,0,0,126,120,1.26808,17,120,8.29606,25.6763,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
