detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,209,205,1.48583,1,120,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,114,114,1.48279,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,178,175,1.48233,3,3.306,15.3541,11.5792,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,250,244,1.52587,4,2.08671,12.6599,37.3809,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,241,233,1.52072,5,120,13.3314,15.2483,12.995,7.638,1.442,7.683,1.35,0.5,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,259,251,1.51431,6,120,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,272,264,1.50679,7,120,13.5005,120,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,193,190,1.5018,8,0.136149,11.6698,0.136149,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,129,128,1.49971,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,248,243,1.49569,10,120,11.7507,11.8135,12.5864,7.393,1.411,7.414,1.342,1,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,147,145,1.50182,11,11.046,10.1648,11.8228,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,168,164,1.50079,12,120,9.68322,120,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,181,180,1.51474,13,9.81083,9.20459,12.1403,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,144,144,1.50382,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,243,239,1.50037,15,1.30401,9.15646,7.29175,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,213,208,1.52215,16,12.0945,11.1345,12.5848,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
HARRIS,BRISK,MAT_FLANN,SEL_NN,1,0,0,126,123,1.53928,17,0.489319,8.29606,0.449158,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
