detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,209,202,1.28071,1,1.24791,12.5289,63.8475,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,114,111,1.27897,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,178,171,1.27489,3,11.5749,15.3541,11.3951,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,250,238,1.29333,4,30.6534,12.6599,35.3833,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,241,224,1.31258,5,18.7618,13.3314,13.6217,12.995,7.638,1.442,7.683,1.35,0.5,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,259,241,1.30737,6,17.5858,14.1222,13.497,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,272,257,1.26878,7,120,13.5005,37.0436,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,193,185,1.28362,8,120,11.6698,3.90277,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,129,127,1.31876,9,20.5862,12.0817,20.5862,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,248,238,1.26236,10,0.299749,11.7507,11.2142,12.5864,7.393,1.411,7.414,1.342,1,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,147,143,1.2778,11,11.6632,10.1648,11.6948,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,168,161,1.27414,12,7.4507,9.68322,13.4327,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,181,178,1.30206,13,120,9.20459,5.85828,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,144,141,1.2676,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,243,228,1.26857,15,3.04686,9.15646,6.60338,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,213,201,1.32185,16,12.6612,11.1345,12.6612,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
HARRIS,ORB,MAT_FLANN,SEL_NN,1,0,0,126,120,1.32188,17,120,8.29606,120,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
