detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,209,209,1.47976,1,120,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,114,114,1.35489,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,178,178,1.41733,3,11.5749,15.3541,11.3951,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,250,250,1.42407,4,17.1837,12.6599,13.5051,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,241,241,1.73013,5,120,13.3314,27.8744,12.995,7.638,1.442,7.683,1.35,0.5,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,259,259,1.74511,6,17.5858,14.1222,13.497,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,272,272,1.52493,7,120,13.5005,120,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,193,193,1.64012,8,3.24135,11.6698,3.30058,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,129,129,1.37979,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,248,248,1.39122,10,7.00791,11.7507,11.6702,12.5864,7.393,1.411,7.414,1.342,1,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,147,147,1.35909,11,19.0321,10.1648,12.551,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,168,168,1.34025,12,1.71424,9.68322,10.7828,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,181,181,1.33393,13,8.45753,9.20459,6.06984,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,144,144,1.3826,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,243,243,1.32653,15,28.3893,9.15646,9.15107,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,213,213,1.34637,16,4.71684,11.1345,11.7964,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
HARRIS,SIFT,MAT_FLANN,SEL_NN,1,0,0,126,126,1.38165,17,120,8.29606,120,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
