detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,908,1.30451,1,40.8964,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,879,1.32636,2,22.472,16.853,20.4638,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,896,1.30538,3,18.6459,15.3541,17.9977,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,945,1.29581,4,21.7949,12.6599,22.9318,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,902,1.27691,5,17.0162,13.3314,13.3295,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,866,1.2897,6,26.1982,14.1222,35.9576,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,892,1.27473,7,15.0633,13.5005,13.0539,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,902,1.32101,8,19.8968,11.6698,19.8034,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,809,1.28788,9,16.2059,12.0817,14.7968,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,853,1.30173,10,17.5765,11.7507,16.7693,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,893,1.31901,11,21.2988,10.1648,26.4293,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,884,1.34101,12,11.2071,9.68322,11.6176,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,895,1.30074,13,16.7057,9.20459,17.8513,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,927,1.2855,14,12.2511,8.32764,11.8049,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,874,1.27147,15,14.897,9.15646,15.6945,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,865,1.29091,16,11.5711,11.1345,11.7326,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,BRIEF,MAT_BF,SEL_KNN,1,0,0,2000,940,1.29367,17,9.5196,8.29606,9.28584,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
