detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,938,1.28085,1,31.0589,12.5289,40.6235,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,949,1.2966,2,22.3223,16.853,22.9252,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,927,1.28588,3,17.1864,15.3541,15.819,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,936,1.33172,4,15.9929,12.6599,15.9511,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,928,1.28632,5,17.7482,13.3314,13.983,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,913,1.31873,6,25.0155,14.1222,30.1141,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,924,1.30749,7,18.2884,13.5005,15.3834,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,906,1.30262,8,21.4765,11.6698,21.9742,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,892,1.30218,9,16.6409,12.0817,14.9708,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,908,1.28392,10,13.7485,11.7507,13.2407,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,925,1.2939,11,14.3847,10.1648,14.9018,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,915,1.29909,12,12.5243,9.68322,13.2736,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,919,1.31229,13,16.8172,9.20459,16.0687,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,927,1.29458,14,14.5578,8.32764,13.431,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,924,1.28861,15,16.3755,9.15646,15.9466,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,937,1.23639,16,10.2275,11.1345,10.4388,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,BRIEF,MAT_BF,SEL_NN,1,0,0,2000,971,1.29374,17,10.0589,8.29606,10.0873,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
