detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52461,1,37.7152,12.5289,34.2047,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.51157,2,41.1412,16.853,18.1962,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.58865,3,18.0544,15.3541,20.7876,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52415,4,20.4866,12.6599,25.0462,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.54582,5,28.8352,13.3314,40.1372,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.59017,6,28.774,14.1222,21.5259,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.57317,7,120,13.5005,14.4182,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.53911,8,13.8086,11.6698,14.5165,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52719,9,14.1483,12.0817,13.3804,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.58019,10,11.2681,11.7507,11.7649,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.5362,11,9.98037,10.1648,11.8868,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.59094,12,11.8011,9.68322,12.4486,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.54079,13,12.2822,9.20459,11.1401,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.54863,14,15.9858,8.32764,12.6418,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.51873,15,8.54486,9.15646,11.5997,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.50653,16,12.6832,11.1345,11.6648,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.50698,17,10.3217,8.29606,10.2792,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
