detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1152,1.70425,1,30.3104,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1145,1.51275,2,15.7534,16.853,14.6499,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1177,1.5852,3,18.8121,15.3541,20.1414,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1160,1.56524,4,29.7356,12.6599,48.7585,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1141,1.80705,5,13.6474,13.3314,12.2984,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1138,1.63375,6,13.3132,14.1222,12.9309,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1166,1.76693,7,13.8167,13.5005,13.1433,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1149,1.62455,8,14.4771,11.6698,11.7173,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1150,1.6313,9,17.2574,12.0817,18.4286,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1174,1.48542,10,12.6028,11.7507,11.7823,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1156,1.61228,11,14.919,10.1648,13.7531,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1154,1.61465,12,11.0115,9.68322,11.2857,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1167,1.61879,13,10.7609,9.20459,10.7958,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1195,1.61473,14,12.1031,8.32764,10.9556,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1182,1.59436,15,11.2211,9.15646,11.5065,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1209,1.59225,16,11.2763,11.1345,10.6657,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,BRISK,MAT_BF,SEL_NN,1,0,0,2000,1217,1.58105,17,13.6899,8.29606,12.4006,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
