detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1196,1.80222,1,27.918,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1173,1.94324,2,15.7412,16.853,14.1466,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1211,1.83532,3,22.1074,15.3541,22.1033,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1201,1.96006,4,39.8283,12.6599,83.0803,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1202,1.87185,5,14.2996,13.3314,12.8854,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1179,1.96688,6,16.7357,14.1222,17.8793,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1193,1.75275,7,16.1097,13.5005,15.5494,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1188,1.75919,8,14.4635,11.6698,11.9096,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1203,1.76261,9,16.6436,12.0817,15.9897,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1189,1.74021,10,13.417,11.7507,12.427,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1226,1.77044,11,14.4083,10.1648,14.1341,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1191,1.73439,12,10.3791,9.68322,11.171,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1213,1.73765,13,10.4045,9.20459,10.4486,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1220,1.79929,14,10.609,8.32764,10.4241,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1190,1.73281,15,10.7939,9.15646,11.2358,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1250,1.70927,16,11.5375,11.1345,10.6112,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2000,1271,1.75017,17,13.3243,8.29606,12.1086,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
