detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1559,1.79061,1,120,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1552,1.80213,2,21.5009,16.853,19.3281,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1569,1.78091,3,21.216,15.3541,25.8793,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1574,1.77569,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1554,1.7761,5,12.0772,13.3314,12.925,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1574,1.78199,6,14.4104,14.1222,13.2358,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1599,1.82916,7,27.1727,13.5005,17.6594,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1588,1.82196,8,9.60707,11.6698,11.2607,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1581,1.78005,9,15.9695,12.0817,16.569,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1584,1.78849,10,4.34697,11.7507,12.6605,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1563,1.74969,11,11.3768,10.1648,13.819,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1568,1.79185,12,8.87433,9.68322,10.6373,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1576,1.79196,13,13.1408,9.20459,11.0867,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1599,1.80577,14,10.6253,8.32764,10.5454,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1623,1.79664,15,8.99686,9.15646,9.60939,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1617,1.79831,16,23.473,11.1345,11.8188,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,BRISK,MAT_FLANN,SEL_NN,1,0,0,2000,1635,1.78971,17,11.33,8.29606,11.4104,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
