detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,449,1.3421,1,25.658,12.5289,53.0332,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,446,1.29417,2,15.2335,16.853,11.7572,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,444,1.31881,3,15.56,15.3541,12.2019,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,431,1.30985,4,51.5839,12.6599,73.2489,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,447,1.31714,5,20.8873,13.3314,18.5953,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,442,1.35092,6,15.928,14.1222,13.0405,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,460,1.31486,7,12.2578,13.5005,11.768,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,455,1.31526,8,15.3896,11.6698,11.7964,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,462,1.30133,9,16.8436,12.0817,13.1945,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,466,1.31687,10,10.5406,11.7507,10.4341,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,471,1.29183,11,11.8035,10.1648,11.7494,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,458,1.31111,12,8.8456,9.68322,9.70484,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,473,1.31319,13,12.9337,9.20459,11.6693,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,518,1.32154,14,7.87754,8.32764,8.24741,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,509,1.29848,15,9.51149,9.15646,10.4271,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,503,1.31824,16,8.76079,11.1345,9.24399,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,FREAK,MAT_BF,SEL_NN,1,0,0,2000,490,1.29428,17,8.38652,8.29606,8.54472,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
