detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,453,1.36834,1,28.0769,12.5289,61.8707,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,473,1.35953,2,15.6358,16.853,12.2284,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,492,1.39934,3,13.9193,15.3541,11.846,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,456,1.3628,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,478,1.35062,5,17.5744,13.3314,16.5386,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,459,1.34756,6,17.608,14.1222,14.4528,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,486,1.3748,7,14.2504,13.5005,12.4931,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,493,1.38726,8,14.659,11.6698,11.7832,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,473,1.3435,9,18.8475,12.0817,15.5532,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,480,1.34467,10,10.9911,11.7507,10.8181,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,490,1.35441,11,13.769,10.1648,12.7818,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,477,1.38167,12,8.08077,9.68322,9.30728,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,499,1.3386,13,11.5091,9.20459,11.2226,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,528,1.34008,14,9.23971,8.32764,9.00032,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,519,1.38267,15,8.54146,9.15646,9.32448,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,525,1.36765,16,12.3778,11.1345,10.9107,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2000,501,1.34593,17,9.31466,8.29606,9.56541,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
