detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,618,1.3394,1,31.9347,12.5289,85.8078,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,635,1.38572,2,11.0777,16.853,13.4439,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,625,1.36342,3,14.6476,15.3541,12.6839,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,608,1.35265,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,608,1.34424,5,24.3358,13.3314,17.87,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,615,1.37386,6,4.87035,14.1222,11.8554,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,637,1.34583,7,12.95,13.5005,11.4548,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,647,1.36206,8,14.3036,11.6698,12.1705,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,637,1.34319,9,8.39607,12.0817,11.6756,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,655,1.33991,10,7.86074,11.7507,10.7004,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,638,1.36651,11,8.2307,10.1648,11.2449,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,636,1.35415,12,8.94909,9.68322,9.86387,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,641,1.37445,13,14.2677,9.20459,11.8043,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,670,1.3677,14,13.0178,8.32764,9.61362,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,696,1.39354,15,7.31715,9.15646,8.39769,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,712,1.34624,16,18.8468,11.1345,11.277,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,FREAK,MAT_FLANN,SEL_NN,1,0,0,2000,704,1.39318,17,9.14907,8.29606,9.9826,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
