detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1357,1.32257,1,43.6596,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1379,1.32969,2,15.498,16.853,14.198,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1358,1.31919,3,25.4777,15.3541,33.5563,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1358,1.35804,4,29.0267,12.6599,81.0706,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1370,1.34372,5,18.9603,13.3314,30.0189,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1342,1.35286,6,25.7481,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1371,1.31561,7,17.7407,13.5005,23.6597,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1345,1.32061,8,24.2304,11.6698,120,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1342,1.31324,9,18.722,12.0817,30.3545,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1300,1.35281,10,9.58161,11.7507,11.213,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1354,1.33277,11,11.5048,10.1648,13.296,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1345,1.3341,12,10.8848,9.68322,11.696,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1372,1.32262,13,12.775,9.20459,11.8905,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1333,1.32043,14,11.1742,8.32764,10.9401,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1328,1.3471,15,11.4832,9.15646,11.3195,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1375,1.30929,16,10.6828,11.1345,10.8338,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,ORB,MAT_BF,SEL_NN,1,0,0,2000,1376,1.30762,17,13.8099,8.29606,12.3318,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
