detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.50003,1,120,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.47412,2,120,16.853,19.0537,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.49001,3,120,15.3541,62.5183,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.50718,4,4.86494,12.6599,63.2659,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.47635,5,31.5519,13.3314,13.2476,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.50077,6,120,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.48733,7,10.8742,13.5005,14.115,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.49535,8,7.28676,11.6698,13.0795,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.47421,9,9.05314,12.0817,14.4529,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.46964,10,120,11.7507,14.6893,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.45773,11,120,10.1648,14.0149,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.54228,12,43.8031,9.68322,11.1363,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.49022,13,120,9.20459,12.3724,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.46278,14,120,8.32764,11.7431,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.47956,15,120,9.15646,13.5295,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.4736,16,120,11.1345,28.8082,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,ORB,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.48124,17,120,8.29606,12.6892,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
