detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1384,1.50535,1,15.2414,12.5289,23.5078,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1365,1.49462,2,16.5899,16.853,15.0199,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1363,1.50471,3,32.4934,15.3541,28.2044,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1376,1.52109,4,69.8197,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1375,1.49182,5,26.247,13.3314,120,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1350,1.5257,6,120,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1374,1.49841,7,6.66516,13.5005,14.9923,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1367,1.49604,8,3.39639,11.6698,11.8873,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1314,1.49486,9,12.8071,12.0817,12.2203,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1361,1.46622,10,15.3292,11.7507,16.0285,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1399,1.50438,11,10.4816,10.1648,11.7304,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1411,1.4822,12,10.4237,9.68322,11.3883,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1430,1.47997,13,8.9918,9.20459,9.49795,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1420,1.52699,14,14.0176,8.32764,12.3705,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1392,1.49178,15,7.93026,9.15646,8.50511,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1401,1.51764,16,24.4535,11.1345,13.3015,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,SIFT,MAT_BF,SEL_KNN,1,0,0,2000,1397,1.5046,17,10.4931,8.29606,10.4248,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
