detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1271,1.52511,1,26.5253,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1276,1.50542,2,17.5663,16.853,13.8153,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1288,1.52935,3,27.1363,15.3541,33.0655,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1257,1.51507,4,28.218,12.6599,46.815,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1281,1.54114,5,18.4211,13.3314,14.4343,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1250,1.55771,6,18.254,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1274,1.55556,7,16.8119,13.5005,15.6663,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1268,1.5257,8,10.9709,11.6698,11.165,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1260,1.5271,9,14.1015,12.0817,13.1314,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1262,1.50422,10,14.8001,11.7507,13.5054,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1281,1.51762,11,11.9888,10.1648,13.017,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1276,1.53022,12,10.3492,9.68322,10.8009,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1314,1.55548,13,9.52607,9.20459,9.43043,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1283,1.51315,14,14.7519,8.32764,12.4642,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1290,1.55803,15,9.27052,9.15646,9.52303,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1296,1.50944,16,18.29,11.1345,11.2499,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,SIFT,MAT_BF,SEL_NN,1,0,0,2000,1270,1.53,17,11.3713,8.29606,9.9056,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
